cohort_month,order_month,active_customers,cohort_age_months
2024-09,2025-05,1,8
2024-09,2025-06,3,9
2024-09,2025-07,2,10
2024-09,2025-08,2,11
2024-09,2025-09,3,12
2024-09,2025-10,2,13
2024-09,2025-11,2,14
2024-09,2025-12,3,15
2024-10,2024-10,18,0
2024-10,2024-11,3,1
2024-10,2024-12,3,2
2024-10,2025-01,5,3
2024-10,2025-02,2,4
2024-10,2025-03,2,5
2024-10,2025-04,3,6
2024-10,2025-05,3,7
2024-10,2025-06,3,8
2024-10,2025-07,5,9
2024-10,2025-08,3,10
2024-10,2025-09,6,11
2024-10,2025-10,3,12
2024-10,2025-11,6,13
2024-10,2025-12,6,14
2024-11,2024-11,9,0
2024-11,2025-03,1,4
2024-11,2025-04,2,5
2024-11,2025-05,2,6
2024-11,2025-06,1,7
2024-11,2025-07,2,8
2024-11,2025-08,1,9
2024-11,2025-09,3,10
2024-11,2025-10,1,11
2024-11,2025-11,2,12
2024-11,2025-12,1,13
2024-12,2024-12,7,0
2024-12,2025-02,1,2
2024-12,2025-03,2,3
2024-12,2025-04,2,4
2024-12,2025-06,1,6
2024-12,2025-08,2,8
2024-12,2025-10,2,10
2024-12,2025-11,1,11
2024-12,2025-12,3,12
2025-01,2025-01,6,0
2025-01,2025-03,1,2
2025-01,2025-06,1,5
2025-01,2025-11,1,10
2025-02,2025-02,4,0
2025-02,2025-07,1,5
2025-02,2025-10,1,8
2025-03,2025-03,9,0
2025-03,2025-05,4,2
2025-03,2025-08,1,5
2025-03,2025-09,1,6
2025-03,2025-10,1,7
2025-04,2025-04,3,0
2025-04,2025-05,1,1
2025-04,2025-11,1,7
2025-05,2025-05,8,0
2025-05,2025-08,2,3
2025-05,2025-10,1,5
2025-05,2025-11,3,6
2025-05,2025-12,1,7
2025-06,2025-06,5,0
2025-06,2025-08,1,2
2025-06,2025-09,1,3
2025-06,2025-12,2,6
2025-07,2025-07,2,0
2025-07,2025-09,2,2
2025-07,2025-11,1,4
2025-08,2025-08,3,0
2025-08,2025-10,1,2
2025-08,2025-11,1,3
2025-08,2025-12,2,4
2025-09,2025-09,2,0
2025-09,2025-10,1,1
2025-09,2025-11,1,2
2025-10,2025-10,4,0
2025-10,2025-12,2,2
2025-11,2025-11,1,0
2025-12,2025-12,1,0
