order_id,customer_id,order_date,product_id,quantity,discount_pct,payment_method,category,unit_price,unit_cost,gross_sales,discount_amount,net_sales,cost,gross_profit
O0002026,CUST00140,2024-01-10,P0031,2,0.0,UPI,Electronics,287.51,147.51,575.02,0.0,575.02,295.02,280.0
O0002419,CUST00418,2024-01-10,P0007,2,0.0,Net Banking,Grocery,177.14,118.71,354.28,0.0,354.28,237.42,116.86
O0002945,CUST00261,2024-01-10,P0040,4,0.0,Card,Grocery,83.65,51.18,334.6,0.0,334.6,204.72,129.88
O0000239,CUST00183,2024-01-10,P0014,1,0.1,UPI,Electronics,66.45,51.75,66.45,6.64,59.81,51.75,8.06
O0000769,CUST00576,2024-01-11,P0044,2,0.15,UPI,Home,319.2,142.3,638.4,95.76,542.64,284.6,258.04
O0004006,CUST00461,2024-01-11,P0037,2,0.15,UPI,Fashion,32.76,22.26,65.52,9.83,55.69,44.52,11.17
O0000526,CUST00387,2024-01-11,P0007,2,0.0,COD,Grocery,177.14,118.71,354.28,0.0,354.28,237.42,116.86
O0001417,CUST00166,2024-01-11,P0016,4,0.1,Card,Fashion,101.27,44.23,405.08,40.51,364.57,176.92,187.65
O0001701,CUST00453,2024-01-11,P0031,2,0.2,Wallet,Electronics,287.51,147.51,575.02,115.0,460.02,295.02,165.0
O0003328,CUST00517,2024-01-11,P0026,2,0.2,Wallet,Electronics,133.04,87.51,266.08,53.22,212.86,175.02,37.84
O0001111,CUST00175,2024-01-11,P0010,1,0.1,Net Banking,Grocery,158.28,88.17,158.28,15.83,142.45,88.17,54.28
O0000805,CUST00304,2024-01-11,P0003,1,0.0,Card,Home,236.77,123.51,236.77,0.0,236.77,123.51,113.26
O0002501,CUST00390,2024-01-11,P0033,1,0.0,COD,Fashion,112.86,61.51,112.86,0.0,112.86,61.51,51.35
O0001937,CUST00602,2024-01-11,P0017,4,0.0,Net Banking,Home,110.28,84.44,441.12,0.0,441.12,337.76,103.36
O0003360,CUST00103,2024-01-11,P0009,2,0.1,COD,Fashion,264.14,141.26,528.28,52.83,475.45,282.52,192.93
O0001335,CUST00357,2024-01-12,P0007,2,0.0,Wallet,Grocery,177.14,118.71,354.28,0.0,354.28,237.42,116.86
O0000089,CUST00181,2024-01-12,P0019,2,0.0,UPI,Electronics,148.06,96.56,296.12,0.0,296.12,193.12,103.0
O0003176,CUST00512,2024-01-12,P0016,2,0.1,Wallet,Fashion,101.27,44.23,202.54,20.25,182.29,88.46,93.83
O0001683,CUST00212,2024-01-12,P0042,2,0.1,COD,Fashion,92.99,66.18,185.98,18.6,167.38,132.36,35.02
O0004055,CUST00176,2024-01-12,P0044,2,0.15,UPI,Home,319.2,142.3,638.4,95.76,542.64,284.6,258.04
O0004881,CUST00228,2024-01-12,P0043,4,0.0,UPI,Electronics,364.08,156.96,1456.32,0.0,1456.32,627.84,828.48
O0004172,CUST00202,2024-01-12,P0027,4,0.0,UPI,Electronics,55.13,36.66,220.52,0.0,220.52,146.64,73.88
O0003547,CUST00107,2024-01-12,P0012,1,0.05,UPI,Electronics,216.75,132.72,216.75,10.84,205.91,132.72,73.19
O0000907,CUST00232,2024-01-12,P0028,1,0.2,Net Banking,Electronics,164.95,128.88,164.95,32.99,131.96,128.88,3.08
O0000992,CUST00367,2024-01-12,P0002,2,0.1,Net Banking,Electronics,165.42,102.08,330.84,33.08,297.76,204.16,93.6
O0004264,CUST00576,2024-01-13,P0037,1,0.15,Card,Fashion,32.76,22.26,32.76,4.91,27.85,22.26,5.59
O0002273,CUST00309,2024-01-13,P0013,2,0.0,UPI,Grocery,268.38,121.9,536.76,0.0,536.76,243.8,292.96
O0004684,CUST00405,2024-01-13,P0035,1,0.0,Card,Home,139.63,80.04,139.63,0.0,139.63,80.04,59.59
O0002840,CUST00129,2024-01-13,P0011,2,0.1,Card,Electronics,158.87,121.21,317.74,31.77,285.97,242.42,43.55
O0003673,CUST00613,2024-01-13,P0040,1,0.1,Net Banking,Grocery,83.65,51.18,83.65,8.36,75.29,51.18,24.11
O0003143,CUST00400,2024-01-14,P0019,1,0.0,COD,Electronics,148.06,96.56,148.06,0.0,148.06,96.56,51.5
O0001122,CUST00367,2024-01-14,P0008,4,0.0,Net Banking,Fashion,152.63,75.07,610.52,0.0,610.52,300.28,310.24
O0003932,CUST00250,2024-01-14,P0028,1,0.1,COD,Electronics,164.95,128.88,164.95,16.5,148.45,128.88,19.57
O0000248,CUST00126,2024-01-14,P0039,4,0.1,Wallet,Electronics,302.32,141.08,1209.28,120.93,1088.35,564.32,524.03
O0000937,CUST00350,2024-01-14,P0023,1,0.1,COD,Fashion,67.68,45.5,67.68,6.77,60.91,45.5,15.41
O0001797,CUST00572,2024-01-14,P0023,1,0.15,Card,Fashion,67.68,45.5,67.68,10.15,57.53,45.5,12.03
O0000315,CUST00005,2024-01-14,P0016,1,0.0,Card,Fashion,101.27,44.23,101.27,0.0,101.27,44.23,57.04
O0004084,CUST00579,2024-01-14,P0018,1,0.1,UPI,Beauty,175.93,84.8,175.93,17.59,158.34,84.8,73.54
O0003487,CUST00560,2024-01-14,P0037,4,0.05,COD,Fashion,32.76,22.26,131.04,6.55,124.49,89.04,35.45
O0000927,CUST00229,2024-01-14,P0015,1,0.2,Card,Fashion,43.69,25.91,43.69,8.74,34.95,25.91,9.04
O0004292,CUST00520,2024-01-14,P0018,4,0.2,COD,Beauty,175.93,84.8,703.72,140.74,562.98,339.2,223.78
O0004699,CUST00103,2024-01-15,P0005,1,0.05,Card,Electronics,273.97,126.69,273.97,13.7,260.27,126.69,133.58
O0000208,CUST00166,2024-01-15,P0030,1,0.05,UPI,Grocery,239.09,117.72,239.09,11.95,227.14,117.72,109.42
O0003990,CUST00482,2024-01-15,P0018,4,0.0,Wallet,Beauty,175.93,84.8,703.72,0.0,703.72,339.2,364.52
O0002358,CUST00557,2024-01-15,P0005,3,0.0,Card,Electronics,273.97,126.69,821.91,0.0,821.91,380.07,441.84
O0005187,CUST00265,2024-01-15,P0006,4,0.1,UPI,Beauty,192.36,150.65,769.44,76.94,692.5,602.6,89.9
O0002754,CUST00644,2024-01-15,P0028,1,0.15,Wallet,Electronics,164.95,128.88,164.95,24.74,140.21,128.88,11.33
O0002192,CUST00550,2024-01-15,P0017,2,0.0,UPI,Home,110.28,84.44,220.56,0.0,220.56,168.88,51.68
O0003271,CUST00328,2024-01-16,P0044,3,0.0,COD,Home,319.2,142.3,957.6,0.0,957.6,426.9,530.7
O0002555,CUST00581,2024-01-16,P0010,2,0.0,Card,Grocery,158.28,88.17,316.56,0.0,316.56,176.34,140.22
O0004012,CUST00133,2024-01-16,P0034,2,0.1,Net Banking,Electronics,186.26,105.01,372.52,37.25,335.27,210.02,125.25
O0000709,CUST00033,2024-01-16,P0042,4,0.0,Card,Fashion,92.99,66.18,371.96,0.0,371.96,264.72,107.24
O0001351,CUST00454,2024-01-16,P0043,4,0.15,Wallet,Electronics,364.08,156.96,1456.32,218.45,1237.87,627.84,610.03
O0002771,CUST00442,2024-01-16,P0001,4,0.0,Card,Fashion,114.26,54.48,457.04,0.0,457.04,217.92,239.12
O0003025,CUST00348,2024-01-16,P0038,1,0.05,UPI,Fashion,157.39,70.68,157.39,7.87,149.52,70.68,78.84
O0003239,CUST00131,2024-01-16,P0036,4,0.1,Card,Home,308.75,157.97,1235.0,123.5,1111.5,631.88,479.62
O0002389,CUST00193,2024-01-17,P0035,4,0.1,COD,Home,139.63,80.04,558.52,55.85,502.67,320.16,182.51
O0000427,CUST00175,2024-01-17,P0001,4,0.0,UPI,Fashion,114.26,54.48,457.04,0.0,457.04,217.92,239.12
O0003773,CUST00584,2024-01-17,P0009,1,0.15,UPI,Fashion,264.14,141.26,264.14,39.62,224.52,141.26,83.26
O0004070,CUST00575,2024-01-17,P0028,1,0.0,COD,Electronics,164.95,128.88,164.95,0.0,164.95,128.88,36.07
O0005029,CUST00263,2024-01-17,P0008,4,0.05,COD,Fashion,152.63,75.07,610.52,30.53,579.99,300.28,279.71
O0003059,CUST00057,2024-01-17,P0028,1,0.0,Wallet,Electronics,164.95,128.88,164.95,0.0,164.95,128.88,36.07
O0000996,CUST00646,2024-01-17,P0003,2,0.05,Card,Home,236.77,123.51,473.54,23.68,449.86,247.02,202.84
O0002001,CUST00007,2024-01-17,P0045,4,0.05,Card,Grocery,121.81,53.8,487.24,24.36,462.88,215.2,247.68
O0000179,CUST00259,2024-01-17,P0015,3,0.05,Net Banking,Fashion,43.69,25.91,131.07,6.55,124.52,77.73,46.79
O0000138,CUST00219,2024-01-17,P0037,3,0.0,Card,Fashion,32.76,22.26,98.28,0.0,98.28,66.78,31.5
O0003350,CUST00225,2024-01-17,P0035,1,0.0,UPI,Home,139.63,80.04,139.63,0.0,139.63,80.04,59.59
O0000400,CUST00543,2024-01-17,P0020,2,0.0,UPI,Home,149.95,68.06,299.9,0.0,299.9,136.12,163.78
O0001304,CUST00320,2024-01-17,P0015,3,0.05,Net Banking,Fashion,43.69,25.91,131.07,6.55,124.52,77.73,46.79
O0001946,CUST00294,2024-01-17,P0020,1,0.05,UPI,Home,149.95,68.06,149.95,7.5,142.45,68.06,74.39
O0005044,CUST00232,2024-01-17,P0005,1,0.0,UPI,Electronics,273.97,126.69,273.97,0.0,273.97,126.69,147.28
O0001416,CUST00488,2024-01-18,P0038,2,0.0,UPI,Fashion,157.39,70.68,314.78,0.0,314.78,141.36,173.42
O0004859,CUST00569,2024-01-18,P0027,3,0.0,Card,Electronics,55.13,36.66,165.39,0.0,165.39,109.98,55.41
O0002518,CUST00500,2024-01-18,P0041,1,0.05,Net Banking,Grocery,240.98,127.74,240.98,12.05,228.93,127.74,101.19
O0005062,CUST00442,2024-01-18,P0036,2,0.05,Wallet,Home,308.75,157.97,617.5,30.88,586.62,315.94,270.68
O0002720,CUST00096,2024-01-18,P0005,2,0.1,Wallet,Electronics,273.97,126.69,547.94,54.79,493.15,253.38,239.77
O0001913,CUST00218,2024-01-18,P0022,1,0.05,UPI,Electronics,326.52,146.8,326.52,16.33,310.19,146.8,163.39
O0000975,CUST00369,2024-01-18,P0031,2,0.0,Card,Electronics,287.51,147.51,575.02,0.0,575.02,295.02,280.0
O0000860,CUST00236,2024-01-18,P0031,4,0.2,Net Banking,Electronics,287.51,147.51,1150.04,230.01,920.03,590.04,329.99
O0002915,CUST00096,2024-01-19,P0044,4,0.05,UPI,Home,319.2,142.3,1276.8,63.84,1212.96,569.2,643.76
O0001516,CUST00487,2024-01-19,P0038,1,0.2,Card,Fashion,157.39,70.68,157.39,31.48,125.91,70.68,55.23
O0000861,CUST00560,2024-01-19,P0026,2,0.0,UPI,Electronics,133.04,87.51,266.08,0.0,266.08,175.02,91.06
O0000194,CUST00584,2024-01-19,P0015,1,0.05,Card,Fashion,43.69,25.91,43.69,2.18,41.51,25.91,15.6
O0001014,CUST00059,2024-01-19,P0032,1,0.1,UPI,Electronics,325.98,157.6,325.98,32.6,293.38,157.6,135.78
O0003983,CUST00134,2024-01-19,P0016,3,0.15,UPI,Fashion,101.27,44.23,303.81,45.57,258.24,132.69,125.55
O0002170,CUST00486,2024-01-19,P0034,2,0.1,UPI,Electronics,186.26,105.01,372.52,37.25,335.27,210.02,125.25
O0001592,CUST00174,2024-01-19,P0016,4,0.0,UPI,Fashion,101.27,44.23,405.08,0.0,405.08,176.92,228.16
O0000110,CUST00414,2024-01-19,P0012,3,0.05,COD,Electronics,216.75,132.72,650.25,32.51,617.74,398.16,219.58
O0003868,CUST00619,2024-01-20,P0023,1,0.05,UPI,Fashion,67.68,45.5,67.68,3.38,64.3,45.5,18.8
O0001655,CUST00224,2024-01-20,P0025,1,0.0,COD,Fashion,234.0,111.05,234.0,0.0,234.0,111.05,122.95
O0002335,CUST00368,2024-01-20,P0043,2,0.05,Card,Electronics,364.08,156.96,728.16,36.41,691.75,313.92,377.83
O0001423,CUST00276,2024-01-20,P0014,2,0.05,Card,Electronics,66.45,51.75,132.9,6.64,126.26,103.5,22.76
O0002880,CUST00112,2024-01-20,P0042,1,0.1,Card,Fashion,92.99,66.18,92.99,9.3,83.69,66.18,17.51
O0000678,CUST00400,2024-01-20,P0011,2,0.1,Wallet,Electronics,158.87,121.21,317.74,31.77,285.97,242.42,43.55
O0001971,CUST00340,2024-01-20,P0002,2,0.15,Wallet,Electronics,165.42,102.08,330.84,49.63,281.21,204.16,77.05
O0000285,CUST00524,2024-01-20,P0044,1,0.15,Wallet,Home,319.2,142.3,319.2,47.88,271.32,142.3,129.02
O0002610,CUST00575,2024-01-21,P0043,3,0.1,COD,Electronics,364.08,156.96,1092.24,109.22,983.02,470.88,512.14
O0004732,CUST00354,2024-01-21,P0003,1,0.0,Net Banking,Home,236.77,123.51,236.77,0.0,236.77,123.51,113.26
O0003941,CUST00461,2024-01-22,P0035,4,0.0,UPI,Home,139.63,80.04,558.52,0.0,558.52,320.16,238.36
O0001511,CUST00316,2024-01-22,P0013,4,0.0,UPI,Grocery,268.38,121.9,1073.52,0.0,1073.52,487.6,585.92
O0002691,CUST00481,2024-01-22,P0001,1,0.1,UPI,Fashion,114.26,54.48,114.26,11.43,102.83,54.48,48.35
O0004723,CUST00228,2024-01-22,P0002,4,0.0,UPI,Electronics,165.42,102.08,661.68,0.0,661.68,408.32,253.36
O0001732,CUST00454,2024-01-22,P0029,1,0.1,UPI,Home,354.92,154.02,354.92,35.49,319.43,154.02,165.41
O0001301,CUST00186,2024-01-22,P0043,3,0.1,Card,Electronics,364.08,156.96,1092.24,109.22,983.02,470.88,512.14
O0002541,CUST00648,2024-01-22,P0024,4,0.0,Card,Grocery,220.04,119.95,880.16,0.0,880.16,479.8,400.36
O0001254,CUST00230,2024-01-22,P0045,3,0.0,Card,Grocery,121.81,53.8,365.43,0.0,365.43,161.4,204.03
O0001656,CUST00454,2024-01-22,P0031,4,0.05,UPI,Electronics,287.51,147.51,1150.04,57.5,1092.54,590.04,502.5
O0002353,CUST00535,2024-01-22,P0021,2,0.0,UPI,Beauty,264.24,127.61,528.48,0.0,528.48,255.22,273.26
O0004582,CUST00254,2024-01-23,P0020,1,0.0,UPI,Home,149.95,68.06,149.95,0.0,149.95,68.06,81.89
O0004824,CUST00380,2024-01-23,P0023,1,0.05,COD,Fashion,67.68,45.5,67.68,3.38,64.3,45.5,18.8
O0001404,CUST00450,2024-01-23,P0023,2,0.0,UPI,Fashion,67.68,45.5,135.36,0.0,135.36,91.0,44.36
O0001975,CUST00069,2024-01-23,P0023,1,0.0,UPI,Fashion,67.68,45.5,67.68,0.0,67.68,45.5,22.18
O0004354,CUST00092,2024-01-23,P0030,2,0.1,Card,Grocery,239.09,117.72,478.18,47.82,430.36,235.44,194.92
O0000624,CUST00015,2024-01-24,P0020,2,0.05,Card,Home,149.95,68.06,299.9,15.0,284.9,136.12,148.78
O0001224,CUST00529,2024-01-24,P0006,3,0.15,COD,Beauty,192.36,150.65,577.08,86.56,490.52,451.95,38.57
O0001266,CUST00575,2024-01-24,P0001,1,0.1,Card,Fashion,114.26,54.48,114.26,11.43,102.83,54.48,48.35
O0002292,CUST00358,2024-01-24,P0009,3,0.15,Net Banking,Fashion,264.14,141.26,792.42,118.86,673.56,423.78,249.78
O0001200,CUST00486,2024-01-24,P0016,2,0.2,Card,Fashion,101.27,44.23,202.54,40.51,162.03,88.46,73.57
O0002487,CUST00108,2024-01-24,P0018,3,0.1,Net Banking,Beauty,175.93,84.8,527.79,52.78,475.01,254.4,220.61
O0001529,CUST00224,2024-01-24,P0015,3,0.05,Card,Fashion,43.69,25.91,131.07,6.55,124.52,77.73,46.79
O0001364,CUST00038,2024-01-25,P0007,1,0.2,Card,Grocery,177.14,118.71,177.14,35.43,141.71,118.71,23.0
O0003102,CUST00500,2024-01-25,P0001,1,0.05,COD,Fashion,114.26,54.48,114.26,5.71,108.55,54.48,54.07
O0004788,CUST00132,2024-01-25,P0002,1,0.1,Net Banking,Electronics,165.42,102.08,165.42,16.54,148.88,102.08,46.8
O0003247,CUST00521,2024-01-25,P0015,1,0.2,Net Banking,Fashion,43.69,25.91,43.69,8.74,34.95,25.91,9.04
O0004980,CUST00571,2024-01-25,P0010,1,0.0,COD,Grocery,158.28,88.17,158.28,0.0,158.28,88.17,70.11
O0000461,CUST00175,2024-01-26,P0045,2,0.15,COD,Grocery,121.81,53.8,243.62,36.54,207.08,107.6,99.48
O0003138,CUST00463,2024-01-26,P0035,1,0.05,COD,Home,139.63,80.04,139.63,6.98,132.65,80.04,52.61
O0003345,CUST00312,2024-01-26,P0045,3,0.2,UPI,Grocery,121.81,53.8,365.43,73.09,292.34,161.4,130.94
