month,product_id,opening_stock,units_sold,closing_stock
2025-10-01,P0005,140,59,152
2025-11-01,P0005,170,47,167
2025-12-01,P0005,82,53,94
2026-01-01,P0005,189,39,193
2026-02-01,P0005,93,40,126
2026-03-01,P0005,88,47,108
2026-04-01,P0005,102,44,82
2026-05-01,P0005,146,49,128
2026-06-01,P0005,151,43,162
2026-07-01,P0005,150,49,129
2026-08-01,P0005,111,34,130
2026-09-01,P0005,123,48,99
2026-10-01,P0005,218,59,233
2026-11-01,P0005,161,63,116
2026-12-01,P0005,126,58,70
2025-01-01,P0006,94,33,141
2025-02-01,P0006,162,34,197
2025-03-01,P0006,171,49,155
2025-04-01,P0006,81,40,115
2025-05-01,P0006,203,44,166
2025-06-01,P0006,112,57,87
2025-07-01,P0006,218,44,188
2025-08-01,P0006,140,41,165
2025-09-01,P0006,138,43,133
2025-10-01,P0006,218,59,188
2025-11-01,P0006,207,69,214
2025-12-01,P0006,155,59,180
2026-01-01,P0006,84,46,86
2026-02-01,P0006,50,43,51
2026-03-01,P0006,50,40,73
2026-04-01,P0006,202,38,220
2026-05-01,P0006,121,56,98
2026-06-01,P0006,176,45,166
2026-07-01,P0006,62,44,106
2026-08-01,P0006,145,37,179
2026-09-01,P0006,203,35,199
2026-10-01,P0006,170,45,127
2026-11-01,P0006,100,62,109
2026-12-01,P0006,81,61,103
2025-01-01,P0007,198,70,203
2025-02-01,P0007,187,74,113
2025-03-01,P0007,100,74,112
2025-04-01,P0007,97,70,84
2025-05-01,P0007,102,57,98
2025-06-01,P0007,156,97,119
2025-07-01,P0007,42,85,28
2025-08-01,P0007,149,73,147
2025-09-01,P0007,151,76,124
2025-10-01,P0007,101,88,20
2025-11-01,P0007,187,112,94
2025-12-01,P0007,122,102,67
2026-01-01,P0007,192,72,169
2026-02-01,P0007,176,69,168
2026-03-01,P0007,173,69,118
2026-04-01,P0007,188,79,137
2026-05-01,P0007,96,80,58
2026-06-01,P0007,99,76,44
2026-07-01,P0007,173,74,125
2026-08-01,P0007,85,84,64
2026-09-01,P0007,173,75,144
2026-10-01,P0007,215,78,181
2026-11-01,P0007,54,100,0
2026-12-01,P0007,49,109,0
2025-01-01,P0008,105,92,63
2025-02-01,P0008,175,90,128
2025-03-01,P0008,163,89,152
2025-04-01,P0008,73,102,46
2025-05-01,P0008,69,93,0
2025-06-01,P0008,172,87,108
2025-07-01,P0008,102,90,90
2025-08-01,P0008,76,99,42
2025-09-01,P0008,44,78,0
2025-10-01,P0008,172,105,133
2025-11-01,P0008,58,125,0
2025-12-01,P0008,62,135,0
2026-01-01,P0008,215,107,158
2026-02-01,P0008,93,88,22
2026-03-01,P0008,86,101,2
2026-04-01,P0008,124,94,116
2026-05-01,P0008,131,86,114
2026-06-01,P0008,212,101,191
2026-07-01,P0008,58,91,3
2026-08-01,P0008,50,104,0
2026-09-01,P0008,192,93,164
2026-10-01,P0008,90,143,10
2026-11-01,P0008,63,135,0
2026-12-01,P0008,83,132,0
2025-01-01,P0009,57,20,68
2025-02-01,P0009,71,21,95
2025-03-01,P0009,88,23,123
2025-04-01,P0009,124,22,157
2025-05-01,P0009,71,25,103
2025-06-01,P0009,93,31,88
2025-07-01,P0009,115,29,151
2025-08-01,P0009,136,29,161
2025-09-01,P0009,107,29,160
2025-10-01,P0009,131,28,155
2025-11-01,P0009,112,29,93
2025-12-01,P0009,206,24,234
2026-01-01,P0009,74,25,76
2026-02-01,P0009,172,21,187
2026-03-01,P0009,79,22,60
2026-04-01,P0009,77,28,126
2026-05-01,P0009,75,21,99
2026-06-01,P0009,108,28,150
2026-07-01,P0009,48,26,44
2026-08-01,P0009,85,24,81
2026-09-01,P0009,145,28,121
2026-10-01,P0009,122,38,139
2026-11-01,P0009,158,35,171
2026-12-01,P0009,54,36,101
2025-01-01,P0010,96,16,131
2025-02-01,P0010,86,16,150
2025-03-01,P0010,216,23,268
2025-04-01,P0010,203,21,269
2025-05-01,P0010,128,15,170
2025-06-01,P0010,142,23,171
2025-07-01,P0010,91,28,114
2025-08-01,P0010,187,21,171
2025-09-01,P0010,146,23,166
2025-10-01,P0010,196,27,253
2025-11-01,P0010,201,29,185
2025-12-01,P0010,85,27,103
2026-01-01,P0010,56,24,50
2026-02-01,P0010,204,14,218
2026-03-01,P0010,59,28,71
2026-04-01,P0010,125,21,182
2026-05-01,P0010,197,20,227
2026-06-01,P0010,77,15,114
2026-07-01,P0010,148,29,139
2026-08-01,P0010,132,26,186
2026-09-01,P0010,190,25,251
2026-10-01,P0010,50,22,55
2026-11-01,P0010,87,24,140
2026-12-01,P0010,174,26,236
2025-01-01,P0011,126,45,115
2025-02-01,P0011,167,52,132
2025-03-01,P0011,106,43,91
2025-04-01,P0011,203,55,179
2025-05-01,P0011,209,57,237
2025-06-01,P0011,198,66,142
2025-07-01,P0011,64,59,64
2025-08-01,P0011,124,57,93
2025-09-01,P0011,93,58,68
2025-10-01,P0011,88,89,0
2025-11-01,P0011,112,83,73
2025-12-01,P0011,201,78,124
2026-01-01,P0011,79,58,108
2026-02-01,P0011,58,62,26
2026-03-01,P0011,68,71,75
2026-04-01,P0011,80,49,117
2026-05-01,P0011,175,64,156
2026-06-01,P0011,71,65,39
2026-07-01,P0011,154,68,138
2026-08-01,P0011,59,50,33
2026-09-01,P0011,214,60,200
2026-10-01,P0011,52,80,0
2026-11-01,P0011,67,70,15
2026-12-01,P0011,172,69,106
2025-01-01,P0012,60,25,96
2025-02-01,P0012,82,25,124
2025-03-01,P0012,117,30,170
2025-04-01,P0012,124,33,127
2025-05-01,P0012,106,27,112
2025-06-01,P0012,50,26,84
2025-07-01,P0012,159,30,133
2025-08-01,P0012,67,27,93
2025-09-01,P0012,145,37,177
2025-10-01,P0012,216,37,261
2025-11-01,P0012,57,40,29
2025-12-01,P0012,45,36,92
2026-01-01,P0012,72,34,78
2026-02-01,P0012,47,28,21
2026-03-01,P0012,78,19,86
2026-04-01,P0012,44,23,60
2026-05-01,P0012,215,18,220
2026-06-01,P0012,96,33,68
2026-07-01,P0012,57,26,85
2026-08-01,P0012,47,28,47
2026-09-01,P0012,119,26,119
2026-10-01,P0012,211,41,195
2026-11-01,P0012,51,34,67
2026-12-01,P0012,216,36,237
2025-01-01,P0013,42,53,28
2025-02-01,P0013,189,52,223
2025-03-01,P0013,136,58,115
2025-04-01,P0013,109,52,110
2025-05-01,P0013,171,57,199
2025-06-01,P0013,217,68,219
2025-07-01,P0013,122,65,112
2025-08-01,P0013,171,60,120
2025-09-01,P0013,218,74,146
2025-10-01,P0013,119,90,89
2025-11-01,P0013,211,68,145
2025-12-01,P0013,147,73,127
2026-01-01,P0013,44,51,81
2026-02-01,P0013,61,50,46
2026-03-01,P0013,68,65,91
2026-04-01,P0013,170,41,184
2026-05-01,P0013,119,54,153
2026-06-01,P0013,166,59,142
2026-07-01,P0013,187,55,219
2026-08-01,P0013,145,52,102
2026-09-01,P0013,106,53,98
2026-10-01,P0013,76,64,89
2026-11-01,P0013,215,76,216
2026-12-01,P0013,125,87,84
2025-01-01,P0014,134,77,143
2025-02-01,P0014,157,75,161
2025-03-01,P0014,142,78,125
2025-04-01,P0014,92,70,39
2025-05-01,P0014,186,84,176
2025-06-01,P0014,174,79,181
2025-07-01,P0014,148,86,97
2025-08-01,P0014,43,85,21
2025-09-01,P0014,171,64,182
2025-10-01,P0014,50,120,0
2025-11-01,P0014,142,111,57
2025-12-01,P0014,127,109,50
2026-01-01,P0014,179,87,115
2026-02-01,P0014,210,87,212
2026-03-01,P0014,75,77,14
2026-04-01,P0014,184,71,188
2026-05-01,P0014,116,85,86
2026-06-01,P0014,183,80,149
2026-07-01,P0014,151,89,82
2026-08-01,P0014,40,70,47
2026-09-01,P0014,103,68,119
2026-10-01,P0014,188,107,135
2026-11-01,P0014,142,109,35
2026-12-01,P0014,219,86,176
2025-01-01,P0015,212,44,178
2025-02-01,P0015,46,43,73
2025-03-01,P0015,203,52,158
2025-04-01,P0015,118,57,88
2025-05-01,P0015,115,46,95
2025-06-01,P0015,185,60,148
2025-07-01,P0015,95,46,83
2025-08-01,P0015,210,51,218
2025-09-01,P0015,59,37,37
2025-10-01,P0015,76,64,99
2025-11-01,P0015,58,58,45
2025-12-01,P0015,185,67,187
2026-01-01,P0015,88,48,85
2026-02-01,P0015,76,46,87
2026-03-01,P0015,81,38,107
2026-04-01,P0015,194,61,199
2026-05-01,P0015,81,54,66
2026-06-01,P0015,173,40,216
2026-07-01,P0015,87,57,92
2026-08-01,P0015,72,44,85
2026-09-01,P0015,219,46,209
2026-10-01,P0015,139,55,121
2026-11-01,P0015,190,52,189
2026-12-01,P0015,165,56,144
2025-01-01,P0016,90,57,84
2025-02-01,P0016,157,62,160
2025-03-01,P0016,129,57,95
2025-04-01,P0016,176,58,145
2025-05-01,P0016,194,42,152
2025-06-01,P0016,156,61,152
2025-07-01,P0016,108,49,85
2025-08-01,P0016,86,68,98
2025-09-01,P0016,121,62,72
2025-10-01,P0016,201,73,199
2025-11-01,P0016,121,85,125
2025-12-01,P0016,205,74,187
2026-01-01,P0016,185,65,198
2026-02-01,P0016,137,58,139
2026-03-01,P0016,207,57,187
2026-04-01,P0016,115,42,141
2026-05-01,P0016,83,51,80
2026-06-01,P0016,209,57,186
2026-07-01,P0016,139,61,132
2026-08-01,P0016,136,55,120
2026-09-01,P0016,123,60,143
2026-10-01,P0016,122,75,130
2026-11-01,P0016,131,73,71
2026-12-01,P0016,173,83,138
2025-01-01,P0017,54,60,26
2025-02-01,P0017,120,66,123
2025-03-01,P0017,172,72,148
2025-04-01,P0017,140,61,133
2025-05-01,P0017,68,74,44
2025-06-01,P0017,144,88,91
2025-07-01,P0017,57,90,0
2025-08-01,P0017,113,64,102
2025-09-01,P0017,133,79,140
2025-10-01,P0017,132,101,94
2025-11-01,P0017,50,96,0
2025-12-01,P0017,95,101,72
2026-01-01,P0017,199,69,186
2026-02-01,P0017,62,62,29
2026-03-01,P0017,134,73,71
2026-04-01,P0017,74,60,88
2026-05-01,P0017,94,60,70
2026-06-01,P0017,84,74,52
2026-07-01,P0017,100,68,34
2026-08-01,P0017,46,82,0
2026-09-01,P0017,123,70,119
2026-10-01,P0017,112,88,65
2026-11-01,P0017,173,87,111
2026-12-01,P0017,56,84,15
2025-01-01,P0018,70,36,42
2025-02-01,P0018,176,27,161
2025-03-01,P0018,61,36,41
2025-04-01,P0018,151,42,171
2025-05-01,P0018,218,39,193
2025-06-01,P0018,61,43,99
2025-07-01,P0018,65,47,91
2025-08-01,P0018,49,43,75
2025-09-01,P0018,189,46,149
2025-10-01,P0018,101,48,76
2025-11-01,P0018,143,56,148
2025-12-01,P0018,125,50,152
2026-01-01,P0018,194,42,213
2026-02-01,P0018,192,37,210
2026-03-01,P0018,110,43,150
2026-04-01,P0018,54,47,12
2026-05-01,P0018,100,45,57
2026-06-01,P0018,75,35,96
2026-07-01,P0018,181,43,183
2026-08-01,P0018,206,47,172
2026-09-01,P0018,101,40,71
2026-10-01,P0018,176,44,162
2026-11-01,P0018,73,63,23
2026-12-01,P0018,194,62,176
2025-01-01,P0019,86,34,120
2025-02-01,P0019,46,30,36
2025-03-01,P0019,108,17,172
2025-04-01,P0019,164,35,129
2025-05-01,P0019,79,33,80
2025-06-01,P0019,68,35,42
2025-07-01,P0019,48,44,40
2025-08-01,P0019,196,31,204
2025-09-01,P0019,135,30,133
2025-10-01,P0019,56,37,67
2025-11-01,P0019,184,44,182
2025-12-01,P0019,132,38,148
2026-01-01,P0019,127,28,175
2026-02-01,P0019,151,30,141
2026-03-01,P0019,106,31,147
2026-04-01,P0019,99,32,125
2026-05-01,P0019,207,26,266
2026-06-01,P0019,53,35,72
2026-07-01,P0019,140,35,122
2026-08-01,P0019,110,28,161
2026-09-01,P0019,51,36,48
2026-10-01,P0019,158,50,189
2026-11-01,P0019,63,45,24
2026-12-01,P0019,187,49,166
2025-01-01,P0020,137,45,105
2025-02-01,P0020,82,46,116
2025-03-01,P0020,152,48,126
2025-04-01,P0020,103,39,75
2025-05-01,P0020,54,37,20
2025-06-01,P0020,71,32,86
2025-07-01,P0020,90,47,90
2025-08-01,P0020,63,42,107
2025-09-01,P0020,54,27,104
2025-10-01,P0020,56,54,10
2025-11-01,P0020,142,51,175
2025-12-01,P0020,139,57,123
2026-01-01,P0020,125,39,92
2026-02-01,P0020,200,39,224
2026-03-01,P0020,162,39,124
2026-04-01,P0020,218,45,187
2026-05-01,P0020,131,49,95
2026-06-01,P0020,160,44,163
2026-07-01,P0020,133,39,165
2026-08-01,P0020,104,47,119
2026-09-01,P0020,147,37,122
2026-10-01,P0020,158,74,128
2026-11-01,P0020,85,45,42
2026-12-01,P0020,215,51,244
2025-01-01,P0021,214,82,205
2025-02-01,P0021,116,82,88
2025-03-01,P0021,106,102,13
2025-04-01,P0021,108,96,81
2025-05-01,P0021,85,93,71
2025-06-01,P0021,58,98,15
2025-07-01,P0021,78,96,53
2025-08-01,P0021,136,98,59
2025-09-01,P0021,86,110,23
2025-10-01,P0021,67,104,0
2025-11-01,P0021,148,115,87
2025-12-01,P0021,181,97,130
2026-01-01,P0021,186,78,169
2026-02-01,P0021,215,103,196
2026-03-01,P0021,71,81,2
2026-04-01,P0021,74,117,0
2026-05-01,P0021,174,67,194
2026-06-01,P0021,52,79,11
2026-07-01,P0021,206,103,107
2026-08-01,P0021,93,94,15
2026-09-01,P0021,123,93,40
2026-10-01,P0021,212,108,180
2026-11-01,P0021,104,124,11
2026-12-01,P0021,156,154,17
2025-01-01,P0022,128,23,148
2025-02-01,P0022,209,27,233
2025-03-01,P0022,214,30,236
2025-04-01,P0022,57,12,48
2025-05-01,P0022,115,22,178
2025-06-01,P0022,97,25,146
2025-07-01,P0022,191,21,193
2025-08-01,P0022,122,13,157
2025-09-01,P0022,128,18,170
2025-10-01,P0022,183,25,227
2025-11-01,P0022,66,30,122
2025-12-01,P0022,98,28,85
2026-01-01,P0022,140,24,150
2026-02-01,P0022,212,24,235
2026-03-01,P0022,84,23,101
2026-04-01,P0022,183,24,179
2026-05-01,P0022,142,15,157
2026-06-01,P0022,42,22,59
2026-07-01,P0022,152,23,141
2026-08-01,P0022,84,19,67
2026-09-01,P0022,213,22,218
2026-10-01,P0022,133,27,118
2026-11-01,P0022,215,36,242
2026-12-01,P0022,85,36,65
2025-01-01,P0023,168,67,111
2025-02-01,P0023,151,61,148
2025-03-01,P0023,161,55,114
2025-04-01,P0023,113,64,68
2025-05-01,P0023,150,66,153
2025-06-01,P0023,145,56,131
2025-07-01,P0023,164,60,157
2025-08-01,P0023,115,65,64
2025-09-01,P0023,171,63,130
2025-10-01,P0023,206,87,208
2025-11-01,P0023,161,76,167
2025-12-01,P0023,114,91,50
2026-01-01,P0023,182,68,151
2026-02-01,P0023,133,49,121
2026-03-01,P0023,141,46,149
2026-04-01,P0023,66,63,83
2026-05-01,P0023,197,54,168
2026-06-01,P0023,139,67,110
2026-07-01,P0023,150,81,132
2026-08-01,P0023,77,55,108
2026-09-01,P0023,161,60,113
2026-10-01,P0023,116,72,76
2026-11-01,P0023,43,76,0
2026-12-01,P0023,148,79,94
2025-01-01,P0024,138,28,133
2025-02-01,P0024,154,39,196
2025-03-01,P0024,161,28,148
2025-04-01,P0024,162,30,168
2025-05-01,P0024,180,38,149
2025-06-01,P0024,117,33,173
2025-07-01,P0024,168,29,182
2025-08-01,P0024,44,45,70
2025-09-01,P0024,148,37,180
2025-10-01,P0024,146,46,125
2025-11-01,P0024,44,41,70
2025-12-01,P0024,54,48,51
2026-01-01,P0024,95,30,136
2026-02-01,P0024,84,23,121
2026-03-01,P0024,42,38,58
2026-04-01,P0024,196,26,235
2026-05-01,P0024,141,37,154
2026-06-01,P0024,119,32,176
2026-07-01,P0024,81,27,68
2026-08-01,P0024,170,33,178
2026-09-01,P0024,211,30,220
2026-10-01,P0024,80,39,48
2026-11-01,P0024,139,45,112
2026-12-01,P0024,217,53,193
2025-01-01,P0025,174,74,174
2025-02-01,P0025,72,56,34
2025-03-01,P0025,62,64,45
2025-04-01,P0025,189,65,182
2025-05-01,P0025,214,55,208
2025-06-01,P0025,175,77,101
2025-07-01,P0025,94,76,48
2025-08-01,P0025,200,73,181
2025-09-01,P0025,160,67,122
2025-10-01,P0025,116,85,85
2025-11-01,P0025,199,89,160
2025-12-01,P0025,108,100,43
2026-01-01,P0025,161,65,104
2026-02-01,P0025,126,64,85
2026-03-01,P0025,114,56,89
2026-04-01,P0025,171,63,126
2026-05-01,P0025,83,66,56
2026-06-01,P0025,135,75,137
2026-07-01,P0025,173,68,182
2026-08-01,P0025,114,61,66
2026-09-01,P0025,113,66,101
2026-10-01,P0025,87,89,8
2026-11-01,P0025,170,86,130
2026-12-01,P0025,53,89,0
2025-01-01,P0026,183,37,224
2025-02-01,P0026,182,37,169
2025-03-01,P0026,124,42,130
2025-04-01,P0026,97,37,142
2025-05-01,P0026,196,39,175
2025-06-01,P0026,124,51,134
2025-07-01,P0026,201,61,151
2025-08-01,P0026,185,37,234
2025-09-01,P0026,57,36,68
2025-10-01,P0026,122,58,83
2025-11-01,P0026,161,70,104
2025-12-01,P0026,139,60,148
2026-01-01,P0026,117,54,114
2026-02-01,P0026,113,37,129
2026-03-01,P0026,180,43,157
2026-04-01,P0026,195,42,189
2026-05-01,P0026,150,43,154
2026-06-01,P0026,189,60,133
2026-07-01,P0026,213,51,238
2026-08-01,P0026,164,44,139
2026-09-01,P0026,52,47,39
2026-10-01,P0026,65,70,57
2026-11-01,P0026,160,63,107
2026-12-01,P0026,166,63,178
2025-01-01,P0027,58,53,9
2025-02-01,P0027,177,62,162
2025-03-01,P0027,81,71,55
2025-04-01,P0027,114,56,82
2025-05-01,P0027,86,54,42
2025-06-01,P0027,132,79,119
2025-07-01,P0027,80,75,90
2025-08-01,P0027,114,63,137
2025-09-01,P0027,124,85,55
2025-10-01,P0027,142,94,110
2025-11-01,P0027,54,85,0
2025-12-01,P0027,107,94,73
2026-01-01,P0027,121,64,64
2026-02-01,P0027,61,65,81
2026-03-01,P0027,56,57,44
2026-04-01,P0027,47,81,36
2026-05-01,P0027,190,57,196
2026-06-01,P0027,170,69,150
2026-07-01,P0027,185,75,112
2026-08-01,P0027,55,66,0
2026-09-01,P0027,149,66,93
2026-10-01,P0027,191,78,161
2026-11-01,P0027,53,76,56
2026-12-01,P0027,114,82,43
2025-01-01,P0028,179,93,110
2025-02-01,P0028,64,91,0
2025-03-01,P0028,175,100,95
2025-04-01,P0028,160,97,91
2025-05-01,P0028,120,84,81
2025-06-01,P0028,137,99,111
2025-07-01,P0028,199,113,161
2025-08-01,P0028,135,91,90
2025-09-01,P0028,198,87,198
2025-10-01,P0028,103,119,0
2025-11-01,P0028,154,140,95
2025-12-01,P0028,216,102,140
2026-01-01,P0028,105,84,33
2026-02-01,P0028,113,74,91
2026-03-01,P0028,184,94,151
2026-04-01,P0028,109,90,106
2026-05-01,P0028,204,95,192
2026-06-01,P0028,157,102,143
2026-07-01,P0028,202,115,97
2026-08-01,P0028,47,105,4
2026-09-01,P0028,192,79,180
2026-10-01,P0028,198,97,120
2026-11-01,P0028,94,146,33
2026-12-01,P0028,166,138,30
2025-01-01,P0029,215,80,149
2025-02-01,P0029,113,78,106
2025-03-01,P0029,143,75,104
2025-04-01,P0029,112,79,92
2025-05-01,P0029,48,92,16
2025-06-01,P0029,194,91,103
2025-07-01,P0029,135,94,127
2025-08-01,P0029,190,86,136
2025-09-01,P0029,169,77,96
2025-10-01,P0029,90,116,0
2025-11-01,P0029,58,115,0
2025-12-01,P0029,154,112,72
2026-01-01,P0029,76,87,8
2026-02-01,P0029,123,87,38
2026-03-01,P0029,143,83,65
2026-04-01,P0029,162,91,145
2026-05-01,P0029,168,75,101
2026-06-01,P0029,53,69,52
2026-07-01,P0029,62,76,0
2026-08-01,P0029,46,78,0
2026-09-01,P0029,139,64,151
2026-10-01,P0029,117,99,107
2026-11-01,P0029,100,110,48
2026-12-01,P0029,126,92,88
2025-01-01,P0030,73,97,58
2025-02-01,P0030,73,92,45
2025-03-01,P0030,158,80,114
2025-04-01,P0030,140,60,115
2025-05-01,P0030,152,94,67
2025-06-01,P0030,72,98,44
2025-07-01,P0030,160,107,92
2025-08-01,P0030,114,83,32
2025-09-01,P0030,194,103,91
2025-10-01,P0030,146,124,60
2025-11-01,P0030,91,128,26
2025-12-01,P0030,111,139,31
2026-01-01,P0030,216,105,182
2026-02-01,P0030,43,110,0
2026-03-01,P0030,79,84,72
2026-04-01,P0030,167,83,153
2026-05-01,P0030,116,91,79
2026-06-01,P0030,212,102,119
2026-07-01,P0030,62,101,1
2026-08-01,P0030,112,95,64
2026-09-01,P0030,145,77,118
2026-10-01,P0030,95,134,34
2026-11-01,P0030,136,118,98
2026-12-01,P0030,41,138,0
2025-01-01,P0031,147,54,123
2025-02-01,P0031,59,56,15
2025-03-01,P0031,158,66,153
2025-04-01,P0031,95,58,65
2025-05-01,P0031,157,56,158
2025-06-01,P0031,118,72,83
2025-07-01,P0031,108,57,121
2025-08-01,P0031,112,60,61
2025-09-01,P0031,149,53,161
2025-10-01,P0031,72,61,29
2025-11-01,P0031,215,78,216
2025-12-01,P0031,110,68,93
2026-01-01,P0031,116,59,68
2026-02-01,P0031,158,48,175
2026-03-01,P0031,44,52,61
2026-04-01,P0031,67,36,98
2026-05-01,P0031,199,46,226
2026-06-01,P0031,73,58,46
2026-07-01,P0031,82,45,84
2026-08-01,P0031,145,48,104
2026-09-01,P0031,152,54,112
2026-10-01,P0031,200,78,127
2026-11-01,P0031,137,62,142
2026-12-01,P0031,67,80,3
2025-01-01,P0032,100,22,90
2025-02-01,P0032,98,27,152
2025-03-01,P0032,157,28,165
2025-04-01,P0032,156,31,204
2025-05-01,P0032,150,32,128
2025-06-01,P0032,131,35,131
2025-07-01,P0032,129,25,184
2025-08-01,P0032,115,32,132
2025-09-01,P0032,205,25,244
2025-10-01,P0032,135,36,130
2025-11-01,P0032,58,42,55
2025-12-01,P0032,168,37,187
2026-01-01,P0032,191,27,167
2026-02-01,P0032,207,23,269
2026-03-01,P0032,128,28,127
2026-04-01,P0032,112,25,87
2026-05-01,P0032,138,34,179
2026-06-01,P0032,83,31,58
2026-07-01,P0032,197,22,255
2026-08-01,P0032,129,26,145
2026-09-01,P0032,56,18,63
2026-10-01,P0032,119,28,163
2026-11-01,P0032,170,34,202
2026-12-01,P0032,63,36,67
2025-01-01,P0033,41,85,0
2025-02-01,P0033,91,98,13
2025-03-01,P0033,197,91,166
2025-04-01,P0033,145,100,72
2025-05-01,P0033,219,95,176
2025-06-01,P0033,182,97,132
2025-07-01,P0033,152,86,90
2025-08-01,P0033,96,88,23
2025-09-01,P0033,185,103,157
2025-10-01,P0033,186,139,73
2025-11-01,P0033,219,125,148
2025-12-01,P0033,100,118,29
2026-01-01,P0033,167,94,109
2026-02-01,P0033,162,69,158
2026-03-01,P0033,72,81,0
2026-04-01,P0033,111,91,58
2026-05-01,P0033,196,101,139
2026-06-01,P0033,182,97,88
2026-07-01,P0033,49,97,0
2026-08-01,P0033,152,102,127
2026-09-01,P0033,158,80,134
2026-10-01,P0033,207,97,123
2026-11-01,P0033,181,138,118
2026-12-01,P0033,123,132,65
2025-01-01,P0034,155,91,97
2025-02-01,P0034,42,91,0
2025-03-01,P0034,206,87,150
2025-04-01,P0034,97,104,57
2025-05-01,P0034,144,108,57
2025-06-01,P0034,50,111,0
2025-07-01,P0034,70,126,31
2025-08-01,P0034,202,93,183
2025-09-01,P0034,142,64,132
2025-10-01,P0034,89,120,56
2025-11-01,P0034,157,138,63
2025-12-01,P0034,117,120,0
2026-01-01,P0034,43,95,36
2026-02-01,P0034,88,82,49
2026-03-01,P0034,42,109,9
2026-04-01,P0034,83,121,0
2026-05-01,P0034,172,126,121
2026-06-01,P0034,70,123,0
2026-07-01,P0034,119,107,56
2026-08-01,P0034,186,106,152
2026-09-01,P0034,50,84,0
2026-10-01,P0034,187,118,150
2026-11-01,P0034,99,130,29
2026-12-01,P0034,95,141,0
2025-01-01,P0035,94,49,92
2025-02-01,P0035,70,60,99
2025-03-01,P0035,85,51,100
2025-04-01,P0035,142,62,130
