customer_id,signup_date,region,acquisition_channel
CUST00054,2024-07-15,South,Direct
CUST00055,2024-07-28,West,Email
CUST00056,2024-01-19,East,Social
CUST00057,2024-08-17,Central,Referral
CUST00058,2024-03-05,West,Social
CUST00059,2024-11-08,East,Direct
CUST00060,2024-10-13,South,Email
CUST00061,2025-01-22,Central,Referral
CUST00062,2024-11-08,West,Paid Search
CUST00063,2024-06-02,Central,Email
CUST00064,2025-02-10,North,Email
CUST00065,2024-06-21,Central,Organic Search
CUST00066,2024-05-16,West,Organic Search
CUST00067,2025-01-15,North,Referral
CUST00068,2024-06-04,East,Referral
CUST00069,2024-02-02,West,Referral
CUST00070,2024-07-16,North,Organic Search
CUST00071,2024-11-30,East,Paid Search
CUST00072,2024-03-20,Central,Organic Search
CUST00073,2024-07-13,South,Direct
CUST00074,2024-02-24,East,Direct
CUST00075,2024-10-15,East,Paid Search
CUST00076,2024-07-18,South,Referral
CUST00077,2024-05-18,Central,Organic Search
CUST00078,2024-04-05,West,Paid Search
CUST00079,2024-08-25,North,Organic Search
CUST00080,2024-10-08,Central,Paid Search
CUST00081,2025-01-29,Central,Referral
CUST00082,2024-07-02,South,Direct
CUST00083,2024-03-08,Central,Paid Search
CUST00084,2024-12-15,North,Social
CUST00085,2024-09-21,Central,Referral
CUST00086,2024-10-21,West,Direct
CUST00087,2024-02-10,West,Social
CUST00088,2024-05-11,North,Paid Search
CUST00089,2024-11-18,Central,Social
CUST00090,2024-12-15,North,Paid Search
CUST00091,2024-07-01,South,Direct
CUST00092,2024-12-04,North,Email
CUST00093,2024-12-19,West,Referral
CUST00094,2024-06-11,North,Organic Search
CUST00095,2025-01-12,Central,Email
CUST00096,2024-05-01,West,Direct
CUST00097,2024-04-10,North,Social
CUST00098,2024-10-13,North,Email
CUST00099,2024-09-24,North,Direct
CUST00100,2024-02-28,East,Direct
CUST00101,2024-12-15,West,Paid Search
CUST00102,2024-03-24,South,Social
CUST00103,2024-12-04,Central,Social
CUST00104,2024-01-04,North,Referral
CUST00105,2024-11-30,West,Paid Search
CUST00106,2024-11-26,Central,Paid Search
CUST00107,2024-11-23,West,Direct
CUST00108,2024-10-06,West,Direct
CUST00109,2024-07-17,Central,Direct
CUST00110,2024-10-23,North,Direct
CUST00111,2024-04-26,North,Direct
CUST00112,2024-11-23,North,Direct
CUST00113,2024-08-21,East,Direct
CUST00114,2024-07-11,West,Social
CUST00115,2024-07-31,West,Email
CUST00116,2024-08-26,Central,Paid Search
CUST00117,2024-01-16,North,Referral
CUST00118,2024-02-28,West,Paid Search
CUST00119,2024-04-13,North,Paid Search
CUST00120,2024-02-18,South,Social
CUST00121,2024-07-03,West,Email
CUST00122,2024-10-07,Central,Paid Search
CUST00123,2024-10-01,East,Direct
CUST00124,2024-07-16,North,Direct
CUST00125,2024-12-25,East,Organic Search
CUST00126,2024-08-25,North,Organic Search
CUST00127,2024-02-03,Central,Paid Search
CUST00128,2024-11-17,West,Direct
CUST00129,2024-08-29,North,Direct
CUST00130,2024-09-23,North,Organic Search
CUST00131,2024-08-25,North,Direct
CUST00132,2024-08-20,Central,Organic Search
CUST00133,2024-02-08,East,Email
CUST00134,2024-08-22,West,Direct
CUST00135,2024-11-29,West,Organic Search
CUST00136,2024-05-07,East,Organic Search
CUST00137,2024-09-10,North,Email
CUST00138,2024-01-13,Central,Social
CUST00139,2024-05-25,South,Direct
CUST00140,2024-07-02,East,Direct
CUST00141,2025-02-16,West,Organic Search
CUST00142,2024-03-31,West,Organic Search
CUST00143,2024-04-26,Central,Direct
CUST00144,2024-06-20,North,Paid Search
CUST00145,2025-02-20,East,Direct
CUST00146,2024-12-24,South,Referral
CUST00147,2024-01-15,East,Organic Search
CUST00148,2024-04-08,North,Direct
CUST00149,2024-12-11,North,Organic Search
CUST00150,2024-01-25,South,Email
CUST00151,2024-12-25,South,Social
CUST00152,2024-04-28,South,Social
CUST00153,2025-01-20,East,Referral
CUST00154,2024-05-03,West,Referral
CUST00155,2024-07-01,South,Direct
CUST00156,2024-10-05,South,Direct
CUST00157,2024-02-23,North,Social
CUST00158,2024-08-21,East,Organic Search
CUST00159,2024-07-31,South,Referral
CUST00160,2024-11-25,North,Direct
CUST00161,2025-02-22,South,Paid Search
CUST00162,2024-10-06,East,Email
CUST00163,2024-06-20,South,Email
CUST00164,2024-06-19,East,Organic Search
CUST00165,2024-06-24,East,Referral
CUST00166,2024-12-07,West,Email
CUST00167,2024-05-14,West,Direct
CUST00168,2024-03-11,West,Direct
CUST00169,2024-05-20,South,Direct
CUST00170,2024-01-10,West,Email
CUST00171,2024-02-14,East,Paid Search
CUST00172,2024-02-07,South,Direct
CUST00173,2024-11-20,West,Direct
CUST00174,2024-10-30,South,Social
CUST00175,2024-10-19,East,Direct
CUST00176,2024-07-12,West,Organic Search
CUST00177,2024-10-28,Central,Direct
CUST00178,2024-03-08,Central,Organic Search
CUST00179,2025-01-13,East,Organic Search
CUST00180,2024-07-29,East,Social
CUST00181,2025-01-28,West,Organic Search
CUST00182,2024-03-04,South,Organic Search
CUST00183,2024-07-27,Central,Organic Search
CUST00184,2024-10-19,East,Email
CUST00185,2024-07-27,North,Direct
CUST00186,2024-07-06,North,Organic Search
CUST00187,2024-03-10,Central,Referral
CUST00188,2024-06-09,North,Direct
CUST00189,2024-04-10,South,Organic Search
CUST00190,2024-05-06,South,Organic Search
CUST00191,2024-10-14,North,Direct
CUST00192,2024-09-21,South,Direct
CUST00193,2024-09-12,West,Social
CUST00194,2024-05-31,North,Direct
CUST00195,2025-02-07,Central,Organic Search
CUST00196,2024-02-06,Central,Email
CUST00197,2024-05-23,South,Direct
CUST00198,2024-02-19,North,Paid Search
CUST00199,2024-05-22,East,Direct
CUST00200,2025-02-07,North,Social
CUST00201,2024-06-02,South,Direct
CUST00202,2025-01-16,Central,Email
CUST00203,2024-07-26,Central,Email
CUST00204,2024-10-20,West,Paid Search
CUST00205,2024-07-11,South,Paid Search
CUST00206,2024-04-21,West,Direct
CUST00207,2024-11-16,West,Organic Search
CUST00208,2025-02-11,South,Organic Search
CUST00209,2024-04-20,West,Organic Search
CUST00210,2024-11-23,North,Organic Search
CUST00211,2024-04-19,North,Direct
CUST00212,2024-10-28,East,Email
CUST00213,2024-11-27,North,Direct
CUST00214,2024-07-07,North,Organic Search
CUST00215,2024-11-05,Central,Referral
CUST00216,2024-04-24,Central,Email
CUST00217,2024-02-03,East,Email
CUST00218,2024-02-10,Central,Direct
CUST00219,2024-07-06,Central,Direct
CUST00220,2025-01-14,North,Direct
CUST00221,2024-02-23,East,Organic Search
CUST00222,2024-07-10,South,Paid Search
CUST00223,2024-10-22,North,Referral
CUST00224,2024-03-25,West,Paid Search
CUST00225,2024-10-30,South,Direct
CUST00226,2024-05-08,East,Social
CUST00227,2024-12-05,North,Social
CUST00228,2024-08-31,North,Direct
CUST00229,2024-08-17,Central,Referral
CUST00230,2024-03-15,North,Organic Search
CUST00231,2024-07-13,South,Organic Search
CUST00232,2024-12-25,South,Social
CUST00233,2024-01-09,East,Social
CUST00234,2024-11-14,East,Paid Search
CUST00235,2024-07-25,East,Email
CUST00236,2024-10-29,North,Direct
CUST00237,2024-10-05,South,Direct
CUST00238,2024-06-30,Central,Social
CUST00239,2024-05-09,West,Email
CUST00240,2024-09-20,West,Paid Search
CUST00241,2024-02-28,West,Social
CUST00242,2024-09-02,West,Paid Search
CUST00243,2024-02-09,North,Social
CUST00244,2024-09-29,South,Referral
CUST00245,2024-09-21,East,Organic Search
CUST00246,2024-02-05,South,Organic Search
CUST00247,2024-11-14,Central,Paid Search
CUST00248,2024-06-23,East,Direct
CUST00249,2024-11-26,West,Referral
CUST00250,2024-01-18,Central,Organic Search
CUST00251,2024-03-16,East,Direct
CUST00252,2024-07-26,Central,Email
CUST00253,2024-03-20,East,Social
CUST00254,2024-05-18,Central,Direct
CUST00255,2024-10-04,South,Organic Search
CUST00256,2024-03-01,East,Paid Search
CUST00257,2024-10-11,East,Social
CUST00258,2024-02-13,North,Organic Search
CUST00259,2024-03-14,South,Referral
CUST00260,2024-09-03,Central,Paid Search
CUST00261,2024-11-29,West,Organic Search
CUST00262,2024-03-12,North,Paid Search
CUST00263,2024-05-05,South,Email
CUST00264,2025-01-23,North,Organic Search
CUST00265,2025-02-19,North,Organic Search
CUST00266,2024-09-01,Central,Direct
CUST00267,2024-07-06,East,Paid Search
CUST00268,2024-05-25,South,Email
CUST00269,2024-09-14,East,Organic Search
CUST00270,2024-09-05,North,Email
CUST00271,2024-05-03,South,Paid Search
CUST00272,2024-01-10,West,Social
CUST00273,2024-03-04,West,Paid Search
CUST00274,2025-02-06,Central,Direct
CUST00275,2024-06-24,West,Direct
CUST00276,2024-07-21,East,Organic Search
CUST00277,2024-07-15,West,Organic Search
CUST00278,2024-11-24,Central,Organic Search
CUST00279,2024-01-28,West,Social
CUST00280,2024-02-04,Central,Organic Search
CUST00281,2024-04-25,West,Direct
CUST00282,2024-07-23,Central,Direct
CUST00283,2024-10-08,North,Direct
CUST00284,2024-07-25,West,Social
CUST00285,2024-07-04,East,Direct
CUST00286,2025-01-28,East,Organic Search
CUST00287,2024-03-08,West,Email
CUST00288,2024-08-28,Central,Paid Search
CUST00289,2024-08-15,Central,Direct
CUST00290,2024-07-17,South,Social
CUST00291,2024-12-05,West,Direct
CUST00292,2024-04-22,West,Organic Search
CUST00293,2025-02-04,South,Direct
CUST00294,2024-05-19,North,Social
CUST00295,2024-08-16,North,Social
CUST00296,2024-08-06,West,Direct
CUST00297,2024-12-22,East,Email
CUST00298,2024-07-03,Central,Email
CUST00299,2024-04-29,East,Social
CUST00300,2024-01-10,Central,Organic Search
CUST00301,2024-06-01,South,Paid Search
CUST00302,2024-12-13,West,Organic Search
CUST00303,2024-01-05,North,Organic Search
CUST00304,2025-01-11,East,Direct
CUST00305,2024-08-15,West,Social
CUST00306,2024-02-28,Central,Email
CUST00307,2024-05-06,Central,Email
CUST00308,2024-08-20,North,Email
CUST00309,2024-05-12,South,Referral
CUST00310,2024-02-15,North,Direct
CUST00311,2024-10-06,North,Direct
CUST00312,2024-10-09,West,Email
CUST00313,2024-02-19,West,Paid Search
CUST00314,2024-04-28,West,Email
CUST00315,2024-04-12,Central,Social
CUST00316,2024-10-03,West,Email
CUST00317,2024-11-02,West,Referral
CUST00318,2024-11-01,North,Social
CUST00319,2025-01-29,South,Paid Search
CUST00320,2024-11-18,West,Paid Search
CUST00321,2024-05-14,Central,Email
CUST00322,2024-02-15,North,Organic Search
CUST00323,2024-09-15,East,Organic Search
CUST00324,2025-01-19,West,Referral
CUST00325,2025-02-13,North,Email
CUST00326,2024-04-06,South,Paid Search
CUST00327,2024-04-09,Central,Social
CUST00328,2024-01-16,West,Direct
CUST00329,2024-02-29,South,Paid Search
CUST00330,2024-08-21,Central,Direct
CUST00331,2024-08-17,South,Direct
CUST00332,2024-06-04,Central,Social
CUST00333,2024-05-10,South,Referral
CUST00334,2024-12-14,East,Organic Search
CUST00335,2024-07-12,South,Direct
CUST00336,2024-12-05,South,Email
CUST00337,2025-02-08,Central,Direct
CUST00338,2024-05-13,North,Social
CUST00339,2024-03-26,North,Organic Search
CUST00340,2025-02-04,South,Organic Search
CUST00341,2024-09-23,West,Referral
CUST00342,2024-05-02,West,Social
CUST00343,2024-09-18,Central,Organic Search
CUST00344,2024-08-04,South,Direct
CUST00345,2025-01-15,South,Direct
CUST00346,2024-04-17,North,Social
CUST00347,2025-02-20,East,Email
CUST00348,2025-01-28,Central,Organic Search
CUST00349,2024-03-16,West,Direct
CUST00350,2024-03-10,East,Paid Search
CUST00351,2024-08-11,South,Direct
CUST00352,2024-01-19,Central,Email
CUST00353,2024-05-05,East,Social
CUST00354,2024-07-01,North,Paid Search
CUST00355,2025-02-11,South,Organic Search
CUST00356,2025-02-20,North,Direct
CUST00357,2024-03-04,North,Social
CUST00358,2025-01-09,North,Social
CUST00359,2024-02-08,East,Direct
CUST00360,2024-11-10,West,Direct
CUST00361,2024-12-21,South,Direct
CUST00362,2025-01-09,South,Organic Search
CUST00363,2024-04-03,Central,Social
CUST00364,2025-01-10,West,Direct
CUST00365,2024-02-18,East,Email
CUST00366,2024-08-05,South,Organic Search
CUST00367,2024-07-16,Central,Direct
CUST00368,2024-05-12,South,Social
CUST00369,2024-01-10,South,Social
CUST00370,2024-11-20,Central,Direct
CUST00371,2024-05-20,East,Social
CUST00372,2024-10-04,West,Email
CUST00373,2024-06-21,East,Email
CUST00374,2024-06-05,West,Email
CUST00375,2025-01-07,South,Organic Search
CUST00376,2024-02-09,South,Direct
CUST00377,2024-11-05,South,Direct
CUST00378,2024-11-09,North,Paid Search
CUST00379,2024-06-08,Central,Paid Search
CUST00380,2024-04-20,South,Direct
CUST00381,2024-01-03,East,Organic Search
CUST00382,2025-01-28,West,Social
CUST00383,2025-02-02,West,Email
CUST00384,2024-04-11,South,Referral
CUST00385,2024-01-14,East,Organic Search
CUST00386,2024-02-21,Central,Referral
CUST00387,2024-01-29,West,Email
CUST00388,2024-12-15,West,Social
CUST00389,2025-01-09,Central,Organic Search
CUST00390,2024-03-05,West,Email
CUST00391,2024-11-09,North,Social
CUST00392,2024-03-16,East,Paid Search
CUST00393,2024-06-03,North,Organic Search
CUST00394,2024-09-08,West,Organic Search
CUST00395,2024-10-29,Central,Paid Search
CUST00396,2025-01-02,East,Organic Search
CUST00397,2024-01-19,South,Direct
CUST00398,2024-03-23,North,Email
CUST00399,2024-04-27,Central,Direct
CUST00400,2024-05-10,North,Direct
CUST00401,2025-02-23,North,Organic Search
CUST00402,2024-11-22,South,Referral
CUST00403,2024-05-14,North,Direct
CUST00404,2025-02-12,East,Referral
CUST00405,2024-07-28,East,Email
CUST00406,2024-07-29,South,Email
CUST00407,2024-07-01,North,Organic Search
CUST00408,2024-03-01,North,Social
CUST00409,2025-01-27,South,Direct
CUST00410,2024-01-06,North,Direct
CUST00411,2024-03-14,West,Organic Search
CUST00412,2024-04-06,North,Referral
CUST00413,2024-04-27,South,Paid Search
CUST00414,2024-02-25,South,Direct
CUST00415,2024-01-08,South,Organic Search
CUST00416,2024-10-11,North,Direct
CUST00417,2025-02-11,North,Direct
CUST00418,2024-02-21,Central,Organic Search
CUST00419,2024-05-04,North,Organic Search
CUST00420,2024-07-31,East,Direct
CUST00421,2025-01-24,East,Organic Search
CUST00422,2024-10-18,South,Social
CUST00423,2024-11-17,South,Direct
CUST00424,2024-09-01,West,Social
CUST00425,2024-06-24,Central,Email
CUST00426,2024-03-24,South,Email
CUST00427,2024-12-29,South,Organic Search
CUST00428,2024-12-03,South,Direct
CUST00429,2024-01-11,East,Paid Search
CUST00430,2024-10-27,West,Organic Search
CUST00431,2024-02-05,South,Paid Search
CUST00432,2024-11-06,South,Direct
CUST00433,2024-12-12,Central,Organic Search
CUST00434,2024-02-25,North,Direct
CUST00435,2024-07-01,East,Referral
CUST00436,2024-02-21,West,Direct
CUST00437,2024-08-26,North,Direct
CUST00438,2025-01-24,North,Direct
CUST00439,2024-02-03,North,Direct
CUST00440,2024-06-15,Central,Organic Search
CUST00441,2025-02-12,North,Direct
CUST00442,2024-05-06,North,Social
CUST00443,2024-02-25,North,Social
CUST00444,2024-07-24,North,Direct
CUST00445,2024-08-01,West,Direct
CUST00446,2024-10-05,South,Referral
CUST00447,2024-05-11,East,Social
CUST00448,2025-02-05,East,Email
CUST00449,2024-08-06,Central,Email
CUST00450,2024-04-30,North,Email
CUST00451,2025-02-07,Central,Email
CUST00452,2025-01-23,East,Organic Search
CUST00453,2024-07-28,North,Organic Search
CUST00454,2024-01-11,West,Direct
CUST00455,2024-09-07,Central,Email
CUST00456,2024-08-21,South,Direct
CUST00457,2024-03-03,Central,Social
CUST00458,2024-09-23,East,Organic Search
CUST00459,2024-12-19,East,Organic Search
CUST00460,2024-02-14,Central,Paid Search
CUST00461,2024-10-30,South,Direct
CUST00462,2024-02-28,West,Paid Search
CUST00463,2024-11-10,South,Social
CUST00464,2024-06-25,West,Direct
CUST00465,2024-01-03,East,Direct
CUST00466,2025-02-09,North,Paid Search
CUST00467,2024-03-10,South,Organic Search
CUST00468,2024-09-07,South,Organic Search
CUST00469,2024-03-17,North,Organic Search
CUST00470,2025-01-26,North,Organic Search
CUST00471,2024-11-06,South,Social
CUST00472,2024-12-03,North,Direct
CUST00473,2024-06-30,North,Social
CUST00474,2024-07-15,West,Social
CUST00475,2024-09-23,West,Paid Search
CUST00476,2024-11-25,West,Direct
CUST00477,2024-12-21,South,Social
CUST00478,2024-01-08,Central,Direct
CUST00479,2024-10-05,East,Direct
CUST00480,2024-02-15,North,Paid Search
CUST00481,2024-04-30,North,Organic Search
CUST00482,2024-12-14,West,Paid Search
CUST00483,2024-04-15,North,Email
CUST00484,2024-11-30,East,Direct
CUST00485,2024-07-13,Central,Email
CUST00486,2024-04-07,North,Direct
CUST00487,2024-05-20,North,Social
CUST00488,2024-08-10,Central,Organic Search
CUST00489,2024-11-17,East,Paid Search
CUST00490,2024-09-11,North,Referral
CUST00491,2025-01-26,Central,Referral
CUST00492,2024-12-30,Central,Email
CUST00493,2024-11-12,East,Paid Search
CUST00494,2024-09-10,West,Referral
CUST00495,2024-05-01,South,Organic Search
CUST00496,2024-06-22,North,Direct
CUST00497,2024-02-19,East,Organic Search
CUST00498,2024-06-06,South,Organic Search
CUST00499,2025-01-24,West,Social
CUST00500,2024-06-27,Central,Social
CUST00501,2024-02-17,North,Social
CUST00502,2024-09-30,East,Email
CUST00503,2025-02-08,South,Direct
CUST00504,2024-12-30,Central,Social
CUST00505,2024-04-25,South,Social
CUST00506,2024-07-09,East,Email
CUST00507,2024-08-11,East,Organic Search
CUST00508,2024-04-14,South,Social
CUST00509,2024-04-22,West,Paid Search
CUST00510,2024-04-09,West,Referral
CUST00511,2025-02-21,East,Organic Search
CUST00512,2024-11-09,West,Direct
CUST00513,2024-12-19,Central,Email
CUST00514,2024-12-08,South,Direct
CUST00515,2025-02-06,East,Social
CUST00516,2024-02-14,North,Organic Search
CUST00517,2025-01-05,West,Direct
CUST00518,2024-01-28,East,Referral
CUST00519,2024-07-18,South,Direct
CUST00520,2024-09-06,North,Email
CUST00521,2024-05-30,Central,Referral
CUST00522,2024-03-02,South,Direct
CUST00523,2024-03-21,West,Referral
CUST00524,2024-12-12,North,Paid Search
CUST00525,2024-05-13,Central,Referral
CUST00526,2024-05-10,North,Referral
CUST00527,2025-01-22,North,Direct
CUST00528,2024-03-01,Central,Email
CUST00529,2025-01-19,Central,Email
CUST00530,2025-01-21,North,Direct
CUST00531,2024-09-08,East,Social
CUST00532,2024-03-10,West,Direct
CUST00533,2024-03-06,Central,Email
CUST00534,2024-04-29,South,Paid Search
CUST00535,2024-08-30,East,Direct
CUST00536,2024-03-05,West,Organic Search
CUST00537,2024-07-10,West,Organic Search
CUST00538,2024-02-18,West,Social
CUST00539,2024-08-14,East,Direct
CUST00540,2024-01-09,North,Direct
CUST00541,2024-10-24,Central,Paid Search
CUST00542,2024-01-24,Central,Organic Search
CUST00543,2024-03-22,West,Direct
CUST00544,2024-03-14,North,Organic Search
CUST00545,2024-12-15,North,Organic Search
CUST00546,2024-01-23,West,Paid Search
CUST00547,2024-06-29,North,Social
CUST00548,2024-09-05,Central,Direct
CUST00549,2024-08-04,South,Direct
CUST00550,2024-10-12,West,Referral
CUST00551,2024-12-03,Central,Organic Search
CUST00552,2024-06-14,South,Email
CUST00553,2024-12-13,South,Social
CUST00554,2024-05-13,East,Organic Search
CUST00555,2025-02-17,East,Paid Search
CUST00556,2024-07-30,South,Paid Search
CUST00557,2024-11-05,East,Organic Search
CUST00558,2025-01-02,Central,Social
CUST00559,2024-11-28,East,Referral
CUST00560,2024-12-23,North,Organic Search
CUST00561,2024-08-13,South,Social
CUST00562,2024-01-19,South,Direct
CUST00563,2024-07-26,North,Direct
CUST00564,2024-03-17,North,Direct
CUST00565,2025-01-08,West,Email
CUST00566,2024-04-09,South,Direct
CUST00567,2024-04-05,Central,Paid Search
CUST00568,2024-04-14,South,Email
CUST00569,2024-09-26,North,Organic Search
CUST00570,2024-08-27,West,Email
CUST00571,2025-02-02,Central,Email
CUST00572,2024-06-23,South,Paid Search
CUST00573,2024-04-28,North,Direct
CUST00574,2024-01-21,North,Paid Search
CUST00575,2024-01-03,East,Paid Search
CUST00576,2024-06-05,East,Organic Search
CUST00577,2025-01-23,South,Email
CUST00578,2024-08-07,North,Paid Search
CUST00579,2025-01-10,East,Email
CUST00580,2024-02-12,Central,Paid Search
CUST00581,2024-02-09,West,Direct
CUST00582,2024-12-16,East,Direct
CUST00583,2024-02-14,North,Social
CUST00584,2024-01-22,South,Referral
CUST00585,2024-06-18,South,Direct
CUST00586,2025-01-23,West,Direct
CUST00587,2024-10-16,Central,Social
CUST00588,2024-02-11,Central,Direct
CUST00589,2024-12-17,Central,Direct
CUST00590,2024-12-20,Central,Direct
CUST00591,2024-12-02,Central,Email
CUST00592,2025-01-14,North,Organic Search
CUST00593,2024-04-10,North,Organic Search
CUST00594,2025-02-15,South,Social
CUST00595,2024-05-14,East,Social
CUST00596,2024-12-02,North,Email
CUST00597,2024-08-31,Central,Social
CUST00598,2024-11-23,East,Social
CUST00599,2024-09-20,East,Direct
CUST00600,2024-09-26,North,Organic Search
CUST00601,2024-09-15,South,Paid Search
CUST00602,2024-11-23,North,Direct
CUST00603,2024-11-06,Central,Direct
CUST00604,2024-02-26,East,Direct
CUST00605,2024-12-12,West,Direct
CUST00606,2024-08-13,South,Direct
CUST00607,2024-05-15,South,Paid Search
CUST00608,2024-08-03,South,Email
CUST00609,2025-02-10,West,Paid Search
CUST00610,2024-12-26,West,Social
CUST00611,2024-12-16,North,Direct
CUST00612,2024-07-13,Central,Paid Search
CUST00613,2024-11-25,North,Social
CUST00614,2024-06-10,Central,Paid Search
CUST00615,2024-10-15,North,Organic Search
CUST00616,2024-09-25,South,Organic Search
CUST00617,2024-04-14,Central,Organic Search
CUST00618,2024-04-21,North,Direct
CUST00619,2024-01-26,South,Email
CUST00620,2024-02-28,East,Direct
CUST00621,2024-07-01,South,Referral
CUST00622,2024-07-19,West,Organic Search
CUST00623,2024-03-10,Central,Organic Search
CUST00624,2024-06-24,Central,Direct
CUST00625,2024-09-10,South,Paid Search
CUST00626,2024-04-07,East,Direct
CUST00627,2024-05-22,South,Organic Search
CUST00628,2024-06-03,South,Referral
CUST00629,2024-07-31,North,Direct
CUST00630,2024-06-02,Central,Paid Search
CUST00631,2024-11-05,Central,Paid Search
CUST00632,2024-05-17,West,Direct
CUST00633,2024-07-01,East,Paid Search
CUST00634,2024-06-08,East,Email
CUST00635,2024-03-17,East,Email
CUST00636,2024-10-15,East,Paid Search
CUST00637,2024-04-08,South,Direct
CUST00638,2024-05-04,North,Direct
CUST00639,2024-11-28,North,Email
CUST00640,2025-02-02,Central,Direct
CUST00641,2024-10-08,East,Paid Search
CUST00642,2025-01-19,Central,Organic Search
CUST00643,2024-12-24,North,Social
CUST00644,2024-07-20,East,Direct
CUST00645,2024-11-19,North,Organic Search
CUST00646,2024-05-17,South,Paid Search
CUST00647,2024-07-12,North,Social
CUST00648,2024-08-12,North,Direct
CUST00649,2025-02-07,Central,Organic Search
CUST00650,2024-12-22,South,Email
